Beckenham,M 452.5 809.5 L 452.5 824.5 L 467.5 824.5 L 467.5 809.5 z
Croydon North,M 435.5 809.5 L 435.5 824.5 L 450.5 824.5 L 450.5 809.5 z
Carshalton and Wallington,M 418.5 809.5 L 418.5 824.5 L 433.5 824.5 L 433.5 809.5 z
Sutton and Cheam,M 401.5 809.5 L 401.5 824.5 L 416.5 824.5 L 416.5 809.5 z
Kingston and Surbiton,M 384.5 809.5 L 384.5 824.5 L 399.5 824.5 L 399.5 809.5 z
Esher and Walton,M 367.5 809.5 L 367.5 824.5 L 382.5 824.5 L 382.5 809.5 z
Woking,M 350.5 809.5 L 350.5 824.5 L 365.5 824.5 L 365.5 809.5 z
South West Surrey,M 333.5 809.5 L 333.5 824.5 L 348.5 824.5 L 348.5 809.5 z
Meon Valley,M 316.5 809.5 L 316.5 824.5 L 331.5 824.5 L 331.5 809.5 z
Winchester,M 299.5 809.5 L 299.5 824.5 L 314.5 824.5 L 314.5 809.5 z
Salisbury,M 282.5 809.5 L 282.5 824.5 L 297.5 824.5 L 297.5 809.5 z
Chatham and Aylesford,M 503.5 792.5 L 503.5 807.5 L 518.5 807.5 L 518.5 792.5 z
Dartford,M 486.5 792.5 L 486.5 807.5 L 501.5 807.5 L 501.5 792.5 z
Eltham,M 469.5 792.5 L 469.5 807.5 L 484.5 807.5 L 484.5 792.5 z
Lewisham West and Penge,M 452.5 792.5 L 452.5 807.5 L 467.5 807.5 L 467.5 792.5 z
Dulwich and West Norwood,M 435.5 792.5 L 435.5 807.5 L 450.5 807.5 L 450.5 792.5 z
Streatham,M 418.5 792.5 L 418.5 807.5 L 433.5 807.5 L 433.5 792.5 z
Mitcham and Morden,M 401.5 792.5 L 401.5 807.5 L 416.5 807.5 L 416.5 792.5 z
Wimbledon,M 384.5 792.5 L 384.5 807.5 L 399.5 807.5 L 399.5 792.5 z
Twickenham,M 367.5 792.5 L 367.5 807.5 L 382.5 807.5 L 382.5 792.5 z
Runnymede and Weybridge,M 350.5 792.5 L 350.5 807.5 L 365.5 807.5 L 365.5 792.5 z
Aldershot,M 333.5 792.5 L 333.5 807.5 L 348.5 807.5 L 348.5 792.5 z
North East Hampshire,M 316.5 792.5 L 316.5 807.5 L 331.5 807.5 L 331.5 792.5 z
Romsey and Southampton North,M 299.5 792.5 L 299.5 807.5 L 314.5 807.5 L 314.5 792.5 z
South West Wiltshire,M 265.5 792.5 L 265.5 807.5 L 280.5 807.5 L 280.5 792.5 z
Bristol South,M 248.5 792.5 L 248.5 807.5 L 263.5 807.5 L 263.5 792.5 z
Cardiff South and Penarth,M 231.5 792.5 L 231.5 807.5 L 246.5 807.5 L 246.5 792.5 z
Faversham and Mid Kent,M 503.5 775.5 L 503.5 790.5 L 518.5 790.5 L 518.5 775.5 z
Bexleyheath and Crayford,M 486.5 775.5 L 486.5 790.5 L 501.5 790.5 L 501.5 775.5 z
Old Bexley and Sidcup,M 469.5 775.5 L 469.5 790.5 L 484.5 790.5 L 484.5 775.5 z
Lewisham East,M 452.5 775.5 L 452.5 790.5 L 467.5 790.5 L 467.5 775.5 z
Camberwell and Peckham,M 435.5 775.5 L 435.5 790.5 L 450.5 790.5 L 450.5 775.5 z
Vauxhall,M 418.5 775.5 L 418.5 790.5 L 433.5 790.5 L 433.5 775.5 z
Tooting,M 401.5 775.5 L 401.5 790.5 L 416.5 790.5 L 416.5 775.5 z
Putney,M 384.5 775.5 L 384.5 790.5 L 399.5 790.5 L 399.5 775.5 z
Brentford and Isleworth,M 367.5 775.5 L 367.5 790.5 L 382.5 790.5 L 382.5 775.5 z
